DOI,Title,Authors,Abstract,Journal,Date
10.1111/ppe.12615,Acetaminophen use during pregnancy and the risk of attention deficit hyperactivity disorder: A causal association or bias?,"Masarwa R, Platt RW, Filion KB","BACKGROUND: The association between acetaminophen use during pregnancy and the development of attention deficit hyperactivity disorder (ADHD) in the offspring may be due to bias. OBJECTIVES: The primary objective was to assess the role of potential unmeasured confounding in the estimation of the association between acetaminophen use during pregnancy and the risk of ADHD, through bias analysis. The secondary objective was to assess the roles of selection bias and exposure misclassification. DATA SOURCES: We searched MEDLINE, Embase, Scopus, and the Cochrane Library up to December 2018. STUDY SELECTION AND DATA EXTRACTION: We included observational studies examining the association between acetaminophen use during pregnancy and the risk of ADHD. SYNTHESIS: We meta-analysed data across studies, using random-effects model. We conducted a bias analysis to studies that did not adjust for important confounders, to explore systematic errors related to unmeasured confounding, selection bias, and exposure misclassification. RESULTS: The search resulted in seven studies included in our meta-analysis. When adjusted estimates were pooled across all studies, the risk ratio (RR) for ADHD was 1.35 (95% confidence interval [CI] 1.25, 1.46; I(2) = 48%). Sensitivity analysis for unmeasured confounding in this meta-analysis showed that a confounder of 1.69 on the RR scale would reduce to 10% the proportion of studies with a true effect size of RR >1.10. Unmeasured confounding bias analysis decreased the point estimate in five of the seven studies and increased in two studies, suggesting that the observed association could be confounded by parental ADHD. Unadjusted and bias-corrected risk ratios (bcRRs) were: RR = 1.34, bcRR = 1.13; RR = 1.51, bcRR = 1.17; RR = 1.63, bcRR = 1.38; RR = 1.44, bcRR = 1.17; RR = 1.16, bcRR = 1.18; RR = 1.25, bcRR = 1.05; and RR = 0.99, bcRR = 1.18. CONCLUSIONS: Bias analysis suggests that the previously reported association between acetaminophen use during pregnancy and an increased risk of ADHD in the offspring may be due to unmeasured confounding. Our ability to conclude a causal association is limited.",Paediatric and perinatal epidemiology,01/05/2020
10.1038/s41586-025-09574-y,SPP1 is required for maintaining mesenchymal cell fate in pancreatic cancer.,"Li H, Lan L, Chen H, Zaw Thin M, Ps H, Nelson JK, Evans IM, Ruiz EJ, Cheng R, Tran L, Allen M, Ma J, Yi T, Wang C, He Y, Guppy N, Sadanandam A, Lin SZ, Zhang C, Behrens A","Elucidating the complex network of communication between tumour cells is central to understanding cell fate decisions and progression of pancreatic ductal adenocarcinoma (PDAC)(1,2). We previously showed that constant suppression of BMP activity by the BMP antagonist GREM1 secreted by mesenchymal PDAC cells is essential for maintaining the fate of epithelial PDAC cells(3). Here we identify SPP1 (also known as osteopontin)(4) as a key regulator of mesenchymal cell fate in pancreatic cancer. Proteomic analysis of plasma from patients with PDAC showed that SPP1 is substantially upregulated in late-stage disease. Inactivation of Spp1 led to a delay in tumorigenesis in mouse PDAC models and abolished metastasis formation. Spp1 was expressed in epithelial PDAC cells, and Spp1 inactivation resulted in a conversion of mesenchymal to epithelial PDAC cells. Mechanistically, SPP1 bound the CD61 receptor on mesenchymal PDAC cells to induce Bmp2 and Grem1 expression, and GREM1 inhibition of BMP signalling was required for Spp1 expression in epithelial cells, thereby forming an intercellular regulatory loop. Concomitant inactivation of Grem1 reverted the epithelial phenotype of Spp1 knockout to fully mesenchymal PDAC. Conversely, Grem1 heterozygosity combined with Spp1 knockout resulted in wild-type PDAC histology, a result that confirmed the direct antagonistic functions of these factors. Hence, mesenchymal and epithelial PDAC cell fates are determined by the reciprocal paracrine regulation of the soluble factors GREM1 and SPP1.",Nature,24/09/2025
10.1038/s42255-025-01379-7,Cholesterol metabolic reprogramming mediates microglia-induced chronic neuroinflammation and hinders neurorestoration following stroke.,"Zhao Q, Li J, Feng J, Wang X, Liu Y, Wang F, Liu L, Jin B, Lin M, Wang YC, Guo X, Chen J, Hao J","Chronic neuroinflammation is a major obstacle to post-stroke recovery, yet the underlying mechanisms, particularly the link between prolonged microglial activation and cholesterol metabolism, are not fully known. Here we show that ischaemic injury induces persistent microglial activation that perpetuates chronic inflammation, leading to microglial cholesterol accumulation and metabolic reprogramming. Using single-cell RNA sequencing, we identified distinct stroke-associated foamy microglia clusters characterized by extensive reprogramming of cholesterol metabolism. Furthermore, direct intracerebral free cholesterol or cholesterol crystal infusion recapitulated sustained microglial activation, directly linking aberrant cholesterol metabolism to prolonged neuroinflammatory responses. Therapeutically, we demonstrate that reducing microglial cholesterol overload through genetic or pharmacological activation of CYP46A1 in male mice promotes white matter repair and functional recovery. These findings highlight microglial cholesterol metabolism as a key driver of post-stroke inflammation, offering therapeutic strategies targeting cholesterol metabolism to mitigate long-term brain damage and promote neurorestoration, potentially improving stroke-related disability outcomes.",Nature metabolism,23/09/2025
10.1186/s12933-025-02921-3,Association of the triglyceride-glucose index combined with a body shape index with all-cause and cardiovascular mortality in individuals with cardiovascular-kidney-metabolic syndrome stage 0-3: findings from two prospective cohorts.,"Chen M, Guo J, Shangguan Y, Sun Z, He X, Tu Q, Yan Q","BACKGROUND: The triglyceride-glucose (TyG) index, as a measure of insulin resistance, has been confirmed to be associated with adverse clinical outcomes. The new composite indicator, TyG-A body type index (TyG-ABSI), by integrating the TyG index and the A body type index, has demonstrated superior efficacy in predicting the risk of cardiovascular death in the general population compared to traditional indicators. This study aims to deeply explore the association between TyG-ABSI and all-cause mortality and CVD mortality in the population with cardiovascular kidney-metabolic syndrome (CKM) stages 0-3. The analysis will be conducted from multiple dimensions such as the intensity of indicator correlation and potential influencing mechanisms, in order to comprehensively reveal the relationship between the two. RESULTS: We analyzed data from 13,480 participants in the NHANES cohort (1999-2018) using Cox proportional hazards models and restricted cubic spline functions. The results indicated that elevated TyG-ABSI values were independently associated with a higher risk of all-cause mortality (HR = 1.226, 95% CI 1.104-1.361) and cardiovascular mortality (HR = 1.377, 95% CI 1.149-1.651). Time-dependent receiver operating characteristic (ROC) curves and concordance index evaluations demonstrated that TyG-ABSI yielded more accurate long-term prognostic performance than other TyG-derived metrics. The area under the curve (AUC) of this indicator reached 0.688-0.708 in the prediction of all-cause mortality risk over 5-15 years, and 0.696-0.739 in the prediction of cardiovascular mortality risk. External validation using CHARLS data confirmed the robustness of these findings in predicting all-cause mortality. CONCLUSIONS: Among individuals with CKM stages 0-3, TyG-ABSI demonstrates a stronger association with mortality risk and superior predictive ability compared with other TyG-derived metrics. Its performance suggests a potential role in capturing variations across diverse clinical subgroups, and informing optimal timing for preventive interventions.",Cardiovascular diabetology,23/09/2025
10.1016/S1474-4422(25)00270-4,Diagnosis of multiple sclerosis: 2024 revisions of the McDonald criteria.,"Montalban X, Lebrun-Frénay C, Oh J, Arrambide G, Moccia M, Pia Amato M, Amezcua L, Banwell B, Bar-Or A, Barkhof F, Butzkueven H, Ciccarelli O, Chataway J, Cohen JA, Comi G, Correale J, Deisenhammer F, Filippi M, Fiol J, Freedman MS, Fujihara K, Granziera C, Green AJ, Hartung HP, Hellwig K, Kappos L, Kimbrough D, Killestein J, Lublin F, Marignier R, Ann Marrie R, Miller A, Otero-Romero S, Ontaneda D, Ramanathan S, Reich D, Rocca MA, Rovira À, Saidha S, Salter A, Sastre-Garriga J, Saylor D, Solomon AJ, Sormani MP, Stankoff B, Tintore M, Tremlett H, Van der Walt A, Viswanathan S, Wiendl H, Wildemann B, Yamout B, Zaratin P, Calabresi PA, Coetzee T, Thompson AJ","Advances in the understanding of multiple sclerosis and the development of biomarkers of pathophysiology prompted a substantial revision of the 2017 McDonald diagnostic criteria. The new 2024 McDonald criteria provide a unified approach for diagnosing multiple sclerosis in individuals with relapsing or progressive courses throughout the lifespan (ie, from paediatric to late-life presentations). The optic nerve can now serve as a fifth anatomical location within the CNS for diagnosis. The central vein sign, paramagnetic rim lesions, and kappa free-light chain concentrations in CSF can be used, when available, to provide supportive evidence and confer specificity for a diagnosis of multiple sclerosis in specific situations. In certain cases, radiologically isolated syndrome or neurological symptoms that do not constitute a clear attack or progression of disability can fulfil the criteria for a multiple sclerosis diagnosis. We also provide guidance for the diagnosis of multiple sclerosis in older individuals (≥50 years) and those with comorbidities. The 2024 revised criteria should expedite the diagnosis of multiple sclerosis, while maintaining specificity.",The Lancet. Neurology,01/10/2025
10.3390/ijms21030969,Precision Psychiatry Applications with Pharmacogenomics: Artificial Intelligence and Machine Learning Approaches.,"Lin E, Lin CH, Lane HY","A growing body of evidence now suggests that precision psychiatry, an interdisciplinary field of psychiatry, precision medicine, and pharmacogenomics, serves as an indispensable foundation of medical practices by offering the accurate medication with the accurate dose at the accurate time to patients with psychiatric disorders. In light of the latest advancements in artificial intelligence and machine learning techniques, numerous biomarkers and genetic loci associated with psychiatric diseases and relevant treatments are being discovered in precision psychiatry research by employing neuroimaging and multi-omics. In this review, we focus on the latest developments for precision psychiatry research using artificial intelligence and machine learning approaches, such as deep learning and neural network algorithms, together with multi-omics and neuroimaging data. Firstly, we review precision psychiatry and pharmacogenomics studies that leverage various artificial intelligence and machine learning techniques to assess treatment prediction, prognosis prediction, diagnosis prediction, and the detection of potential biomarkers. In addition, we describe potential biomarkers and genetic loci that have been discovered to be associated with psychiatric diseases and relevant treatments. Moreover, we outline the limitations in regard to the previous precision psychiatry and pharmacogenomics studies. Finally, we present a discussion of directions and challenges for future research.",International journal of molecular sciences,01/02/2020
10.1177/1060028015606469,Association Between Prenatal Acetaminophen Exposure and Future Risk of Attention Deficit/Hyperactivity Disorder in Children.,"Hoover RM, Hayes VA, Erramouspe J","OBJECTIVE: To evaluate the effect of prenatal acetaminophen exposure on the future development of attention deficit/hyperactivity disorder (ADHD) in children. DATA SOURCES: Literature searches of MEDLINE (1975 to June 2015), International Pharmaceutical Abstracts (1975 to June 2015), and Cochrane Database (publications through June 2015) for prospective clinical trials assessing the relationship of prenatal acetaminophen exposure and the development of attention deficit disorders or hyperactivity. STUDY SELECTION AND DATA EXTRACTION: Studies comparing self-reported maternal acetaminophen use during pregnancy to development of ADHD or ADHD-like behaviors in offspring between the ages of 3 and 12 years. DATA SYNTHESIS: Four studies examining the effects of prenatal acetaminophen exposure on subsequent ADHD behaviors were identified. Of these, one early study found no link to ADHD behaviors while the other studies found statistically significant correlations with the most prominent being a study finding a higher risk for using ADHD medications (hazard ratio = 1.29; 95% CI, 1.15-1.44) or having ADHD-like behaviors at age 7 years as determined by the Strengths and Difficulties Questionnaire (risk ratio = 1.13; 95% CI, 1.01-1.27) in children whose mothers used acetaminophen during pregnancy. CONCLUSION: While there does appear to be a mild correlation between prenatal acetaminophen use and the development of ADHD symptoms in children, current data do not provide sufficient evidence that prenatal acetaminophen exposure leads to development of ADHD symptoms late in life. Acetaminophen is a preferred option for pain management during pregnancy when compared with other medications such as nonsteroidal anti-inflammatory drugs or opioids for pyretic or pain relief.",The Annals of pharmacotherapy,01/12/2015
10.1007/s10549-022-06562-y,The feasibility of using an autologous GM-CSF-secreting breast cancer vaccine to induce immunity in patients with stage II-III and metastatic breast cancers.,"Anderson KS, Erick TK, Chen M, Daley H, Campbell M, Colson Y, Mihm M, Zakka LR, Hopper M, Barry W, Winer EP, Dranoff G, Overmoyer B","PURPOSE: The antigenic targets of immunity and the role of vaccination in breast cancer are unknown. We performed a phase I study of an autologous GM-CSF-secreting breast cancer vaccine in patients with metastatic and stage II-III breast cancer. METHODS: Tumor cells from patients with metastatic (n = 15) and stage II-III (n = 7) disease were transduced with a replication-defective adenoviral vector encoding GM-CSF, and then irradiated. Twelve and seven patients with metastatic and stage II-III disease, respectively, received weekly vaccination for three weeks, followed by every other week until disease progression or vaccine supply was exhausted (metastatic) or until six total vaccine doses were administered (stage II-III). RESULTS: Among those patients with metastatic disease who received vaccinations, eight had progressive disease at two months, three had stable disease for 4-13 months, and one has had no evidence of disease for 13 years. Of the patients with stage II-III disease, five died of metastatic disease between 1.16 and 8.49 years after the start of vaccinations (median 6.24 years) and two are alive as of September 2021. Toxicities included injection site reactions, fatigue, fever, upper respiratory symptoms, joint pain, nausea, and edema. Four of five evaluable patients with metastatic disease developed a skin reaction with immune cell infiltration after the fifth injection of unmodified, irradiated tumor cells. CONCLUSION: We conclude that tumor cells can be harvested from patients with metastatic or stage II-III breast cancer to prepare autologous GM-CSF-secreting vaccines that induce coordinated immune responses with limited toxicity. TRIAL REGISTRATION AND DATE OF REGISTRATION: clinicaltrials.gov, NCT00317603 (April 25, 2006) and NCT00880464 (April 13, 2009).",Breast cancer research and treatment,01/07/2022
10.1016/j.cmet.2025.08.009,HEBP2-governed glutamine competition between tumor and macrophages dictates immunotherapy efficacy in triple-negative breast cancer.,"Xiao Y （肖毅）, Xu Y （徐颖）, Wang H （王晗）, Yang F （杨帆）, Ding XH （丁晓洪）, Fu T （傅彤）, Chen L （陈力）, Jin X （金希）, Zhao YX （赵雅鑫）, Wang Y （王莹）, Chen F （陈芬芳）, Shao ZM （邵志敏）, Jiang YZ （江一舟）","Immunotherapy demonstrates limited efficacy in triple-negative breast cancer (TNBC), influenced by intricate metabolic interactions within the tumor microenvironment. Here, we developed a single-cell RNA sequencing (scRNA-seq) immunotherapy cohort (N = 27) and a spatial transcriptomics cohort (N = 88) to elucidate metabolic crosstalk associated with therapeutic efficacy in TNBC. We illustrated that heme binding protein 2 (HEBP2)(high) tumor cells (featured by active glutathione metabolism) and CCL3(+) macrophages (characterized by oxidative metabolism) indicated immunotherapy efficacy and were quantitatively and spatially negatively correlated. HEBP2-mediated glutamine face-off between these cell types induced this phenomenon. Mechanistically, HEBP2 disrupted FOXA1 cytoplasmic phase separation, promoting its nuclear translocation to upregulate glutathione S-transferase P1 (GSTP1) expression and glutamine consumption in tumor cells. This metabolic shift induced ferroptosis of CCL3(+) macrophages, impairing the antitumor immunity. The utilization of a GSTP1 inhibitor sensitized TNBC to immunotherapy. Collectively, we delineate a tumor-macrophage metabolic checkpoint governed by the HEBP2/GSTP1 axis and pioneer single-cell-level immunometabolism as a paradigm for evaluating immunotherapeutic vulnerabilities.",Cell metabolism,23/09/2025
10.1007/s00421-010-1658-5,"Association among basal serum BDNF, cardiorespiratory fitness and cardiovascular disease risk factors in untrained healthy Korean men.","Jung SH, Kim J, Davis JM, Blair SN, Cho HC","Evidence suggests that serum brain-derived neurotrophic factor (serum BDNF) can be affected by cardiorespiratory fitness (CRF), but this relationship is far from clear. Recent reports show an inverse relationship between serum BDNF and CRF in healthy individuals, and other studies suggest a possible association between serum BDNF and cardiovascular disease. However, the possible interaction between serum BDNF, CRF, and cardiovascular disease risk has not been studied. The purpose of this study was to examine the association among serum BDNF, CRF, and cardiovascular disease risk factors in healthy men. The investigation involved a large sample of men (n = 995, age range: 20-76 years) who live in the central area of South Korea and were recruited into the Preventive Health Study. Our study showed a significant inverse relationship between serum BDNF and relative VO(2)max (r = -0.412, p < 0.0001) and heart rate reserve (r = -0.194, p < 0.0001). Serum BDNF was positively correlated with body mass index (r = 0.80, p < 0.0001), total cholesterol (r = 0.185, p < 0.0001), and triglyceride (r = 0.320, p < 0.0001). Our data suggest that serum BDNF may be associated with effects of increased CRF on cardiovascular disease. However, more research is clearly needed before a determination of whether, and to what extent, serum BDNF may be responsible for some of the health benefits associated with CRF.",European journal of applied physiology,01/02/2011
